icd_code,AMERICAN INDIAN/ALASKA NATIVE,ASIAN,ASIAN - ASIAN INDIAN,ASIAN - CHINESE,ASIAN - KOREAN,ASIAN - SOUTH EAST ASIAN,BLACK/AFRICAN,BLACK/AFRICAN AMERICAN,BLACK/CAPE VERDEAN,BLACK/CARIBBEAN ISLAND,HISPANIC OR LATINO,HISPANIC/LATINO - CENTRAL AMERICAN,HISPANIC/LATINO - COLUMBIAN,HISPANIC/LATINO - CUBAN,HISPANIC/LATINO - DOMINICAN,HISPANIC/LATINO - GUATEMALAN,HISPANIC/LATINO - HONDURAN,HISPANIC/LATINO - MEXICAN,HISPANIC/LATINO - PUERTO RICAN,HISPANIC/LATINO - SALVADORAN,MULTIPLE RACE/ETHNICITY,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,OTHER,PATIENT DECLINED TO ANSWER,PORTUGUESE,SOUTH AMERICAN,UNABLE TO OBTAIN,UNKNOWN,WHITE,WHITE - BRAZILIAN,WHITE - EASTERN EUROPEAN,WHITE - OTHER EUROPEAN,WHITE - RUSSIAN
5845,0.2437204675453867,1.0544640636657547,0.4625714996269585,0.5869186769460333,0.04973887092762994,0.5471275802039294,0.4874409350907734,14.78239243969162,0.9400646605322058,0.7809002735637901,1.671226063168366,0.03979109674210396,0.10445162894802287,0.03979109674210396,0.855508579955235,0.38298930614275056,0.04973887092762994,0.01989554837105198,1.9597115145486197,0.05968664511315593,0.06466053220591893,0.004973887092762995,2.825167868689381,0.16911216115394181,0.6515792091519522,0.03979109674210396,0.5521014672966924,1.5916438696841582,66.08803780154192,0.08455608057697091,0.20890325789604575,0.9947774185525988,1.606565530962447
5847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
5848,0.0,0.20533880903490762,0.0,0.0,0.9240246406570842,2.4640657084188913,0.0,21.149897330595483,2.2587268993839835,0.20533880903490762,1.1293634496919918,0.0,0.0,0.0,4.209445585215605,0.0,0.0,0.0,1.5400410677618068,0.0,0.0,0.0,0.9240246406570842,0.3080082135523614,0.0,0.0,0.20533880903490762,0.7186858316221766,61.293634496919914,0.0,0.0,0.41067761806981523,2.0533880903490758
5849,0.32116287725138104,0.5670532051469697,0.16099961945544491,0.6230894363340597,0.03554537052912421,0.6247621596530772,0.3006720165934153,22.337129021331403,1.114033730465728,0.6034349373356026,2.3142127118608626,0.11959971730975907,0.04474534878372106,0.16350870443397134,0.7966344806821365,0.20658132989867478,0.14510874792477763,0.038890817167159426,2.2991582019897043,0.0882361550781789,0.07067256022849401,0.011709063233123268,2.0398860875419746,0.18650865007046347,0.3993626924154543,0.04683625293249307,0.14343602460576002,0.4516352961347546,60.61196582626259,0.09199978254596852,0.1563996303281465,1.0985610397648151,1.7864685047108069
6393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
66932,0.0,0.0,0.0,3.296703296703297,0.0,4.395604395604396,0.0,38.46153846153847,2.197802197802198,3.296703296703297,0.0,0.0,0.0,0.0,4.395604395604396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197802197802198,3.296703296703297,0.0,1.098901098901099,0.0,0.0,37.362637362637365,0.0,0.0,0.0,0.0
66934,0.0,44.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,0.0,0.0,11.11111111111111,0.0
N170,0.4126817764967903,0.5174898467181973,0.1768636184986244,0.6419494301061182,0.0,0.4126817764967903,0.26857067994235556,14.948251015328179,1.2642473470457225,1.0284291890475565,0.4519848028298179,0.05240403511070353,0.006550504388837941,0.0,0.9629241451591772,0.1768636184986244,0.3602777413860867,0.11135857461024498,1.879994759596489,0.2620201755535176,0.07860605266605529,0.12445958338792087,2.1223634219834926,0.1768636184986244,1.2904493646010742,0.0655050438883794,0.11135857461024498,2.7119088169789074,65.60330145421197,0.2423686623870038,0.4585353072186558,1.9848028298178961,1.093934232935936
N171,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857142857143,0.0,0.0,0.0,0.0
N172,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N178,0.0,0.3646308113035551,0.3646308113035551,1.4585232452142205,0.0,0.3646308113035551,1.276207839562443,11.394712853236099,4.102096627164995,0.0,0.7292616226071102,0.0,0.0,0.0,0.0,2.734731084776664,0.0,0.0,6.289881494986327,0.0,0.0,0.0,2.0054694621695535,0.0,0.6381039197812215,0.09115770282588878,0.0,1.6408386508659982,63.992707383773926,0.5469462169553327,0.09115770282588878,0.6381039197812215,1.276207839562443
N179,0.30416030464696114,0.4452906860031511,0.26096954138709266,0.8832815246947752,0.06022374032009831,0.25853625894991694,0.6028457238102769,20.956644990175622,1.4666609890076465,0.8327909141233795,0.8613819827601941,0.08820648834761873,0.11010603028219992,0.2183870987365181,1.1874418293417364,0.3017270222097854,0.2688777093079136,0.07117351128738891,2.650452894693619,0.164246564509359,0.02980770985540219,0.06630694641303753,2.455790299719564,0.15633839658853801,0.9514134329356945,0.14599694623054135,0.054748854836453004,1.025628547269553,59.10503871960678,0.08273160286397342,0.26766106808932577,1.8565944995650507,1.808537171430831
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.741935483870968,0.0,1.935483870967742,3.225806451612903,0.0,0.0,0.0,5.161290322580645,0.0,0.0,0.0,5.161290322580645,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,3.225806451612903,44.516129032258064,0.0,0.0,1.935483870967742,3.870967741935484
